Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Dhanis,Eduardus,Edouard,null,SJ,1,1,1,1,https://fr.wikipedia.org/wiki/%C3%89douard_Dhanis,https://www.wikidata.org/wiki/Q16232539,http://viaf.org/viaf/81465050,https://worldcat.org/identities/lccn-n90621069/,null,null,Subject of article,council,1,Belgium,1902,1978,60,76,null,null,null,https://www.traditioninaction.org/HotTopics/HTimages_g-k/G049_Barth.jpg,null,null,null,null,null,null,anti-Fatima,null,
di Biagio,Augustinus,Agostino,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,1916,1981,46,-65,null,null,null,null,null,null,null,null,null,null,null,null,
Di Fonzo,Laurentius,Lorenzo,null,OFM Conventual,1,1,1,1,null,https://www.wikidata.org/wiki/Q93250274,http://viaf.org/viaf/166576102,https://worldcat.org/identities/lccn-no96000361/,null,null,null,council,0,Italy,1914,null,48,null,null,null,null,null,null,null,null,null,null,null,null,null,
Diekmann,Godefridus,Godfrey,L,OSB,0,1,1,1,null,https://www.wikidata.org/wiki/Q97065816,http://viaf.org/viaf/16197468,https://worldcat.org/identities/lccn-n85093628/,https://www.findagrave.com/memorial/51385555/godfrey-diekmann,null,Biography (article),council,0,USA,1908,2002,54,94,null,null,yes,http://4.bp.blogspot.com/_7zBpH2FBaZM/SMFdMSuPn4I/AAAAAAAAADQ/laz9w0lfH-A/s1600-h/Diekmann.jpg,null,null,null,null,no,null,null,null,"editor of Worship, Orate Fratres"
Diess,,Lucien,null,CSSP,null,null,null,null,https://en.wikipedia.org/wiki/Lucien_Deiss,https://www.wikidata.org/wiki/Q3265466,http://viaf.org/viaf/24600403,https://www.worldcat.org/identities/lccn-n79063826/,https://www.findagrave.com/memorial/22221235/lucien-deiss,null,Obituary,private,8,France,1921,2007,41,86,null,null,null,null,null,null,9781579921194,null,null,null,null,null,
Dietz,Donaldus,Donald,L,OMI,0,0,0,1,null,null,http://viaf.org/viaf/296251864,https://worldcat.org/identities/lccn-no2013025490/,https://www.findagrave.com/memorial/243770587/donald-l-dietz,null,Obituary,council,0,USA,1929,2022,33,93,null,null,null,https://d35r3vzpjv6bi5.cloudfront.net/25434/pictures/2022/9/Fr.-Don-Dietz-Web.jpg?t=1664047244000,null,null,null,null,no,null,null,null,
Dirks,Ansgarius,Ansgar,null,OP,1,1,1,1,null,null,null,null,null,null,Mentioned in abstract,council,0,Netherlands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Dockx,Isnardus,Stanislas,null,OP,0,1,1,1,https://de.wikipedia.org/wiki/Stanislas_Dockx,https://www.wikidata.org/wiki/Q23906184,http://viaf.org/viaf/110697003,https://worldcat.org/identities/lccn-n86819976/,null,null,null,council,1,Belgium,1901,1985,61,84,null,null,null,http://www.lesacademies.net/images/PIIST/AIPS/In_Memoriam/dockx.jpg,null,null,null,null,null,null,null,null,
Doheny,Villelmus,William,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93266900,http://viaf.org/viaf/60597936,https://worldcat.org/identities/lccn-n87153753/,null,null,null,council,0,USA,1898,1982,64,84,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cwp19490318-01.2.4&srpos=1&e=-------en-20--1--txt-txIN-william+doheny-ILLUSTRATION------,null,null,null,no,null,null,null,dean of the notre dame law school
Dossetti,Ioseph,Giuseppe,null,null,0,0,1,1,https://it.wikipedia.org/wiki/Giuseppe_Dossetti,https://www.wikidata.org/wiki/Q370039,http://viaf.org/viaf/49244601,https://worldcat.org/identities/lccn-n81127415/,https://www.findagrave.com/memorial/31587082/giuseppe-dossetti,null,Obituary,council,4,Italy,1913,1996,49,83,null,null,null,null,"https://en.wikipedia.org/wiki/Giuseppe_Dossetti#/media/File:Don_Giuseppe_Dossetti,_1959.jpg",null,9788815051486,null,null,null,null,null,
Drew,Bernardus,Bernard,null,null,0,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/190866266/bernard-a-drew,null,Mentioned in article,council,0,USA,1911,1973,51,62,null,null,null,null,null,null,null,null,no,null,null,null,
Driscoll,Alexius,Alex ,null,OP,0,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Dubarle,Dominicus,Dominique,null,OP,0,0,0,1,https://en.wikipedia.org/wiki/Dominique_Dubarle,https://www.wikidata.org/wiki/Q3035109,http://viaf.org/viaf/88935472,https://worldcat.org/identities/lccn-n83225805/,null,null,null,council,4,France,1907,1987,55,80,null,null,null,https://www.babelio.com/users/AVT_Dominique-Dubarle_8985.jpg,null,null,null,null,null,null,null,null,claimed Church changed position on just war
Dumont,Christophorus,Christophe,Jean,OP,1,1,1,1,https://gl.wikipedia.org/wiki/Christophe-Jean_Dumont,https://www.wikidata.org/wiki/Q101071787,http://viaf.org/viaf/44087578,https://worldcat.org/identities/lccn-no2007116421/,null,null,Subject of book,council,2,France,1897,1991,65,94,null,null,null,null,null,null,null,null,null,null,null,null,
Duroux,Benedictus,Benoit,null,OP,0,0,1,1,null,null,http://viaf.org/viaf/88942687,https://worldcat.org/identities/viaf-88942687/,null,null,null,council,0,France,null,null,null,null,null,null,null,null,null,null,null,null,null,assisted in revisions of Humanae Vitae,null,null,mediator with SSPX and Rome
Ebben,Bertrandus,Bertrand,null,OP,0,0,0,1,null,null,null,null,null,null,Subject of article,council,0,USA,null,null,null,null,null,null,null,https://retiredreligious.org/wp-content/uploads/2022/06/Father-Bertrand-1.jpg,null,null,null,null,no,null,null,null,
Egger,Carolus,Karl,null,CRSA,1,1,1,1,"https://de.wikipedia.org/wiki/Karl_Egger_(Geistlicher,_1914)",https://www.wikidata.org/wiki/Q12899200,http://viaf.org/viaf/7693768,https://worldcat.org/identities/lccn-n86873143/,null,null,Biography (article),council,4,Switzerland,1914,2003,48,89,Abbot,null,null,http://www.richardwolf.de/latein/egger2.JPG,null,null,null,yes (religious order was CRL),null,null,null,null,Latinist
Eid,Aemilius,Emile,null,null,1,1,1,1,https://de.wikipedia.org/wiki/%C3%89mile_Eid,https://www.wikidata.org/wiki/Q275067,http://viaf.org/viaf/27209278,https://worldcat.org/identities/lccn-no99079999/,null,https://www.catholic-hierarchy.org/bishop/beide.html,null,council,4,Lebanon,1925,2009,37,84,Bishop,null,null,null,null,null,null,null,null,null,null,null,
Eldarov,Georgius,Georgi,null,OFM Conventual,1,1,1,1,https://bg.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8_%D0%95%D0%BB%D0%B4%D1%8A%D1%80%D0%BE%D0%B2,null,null,null,null,null,null,council,1,Bulgaria,null,null,null,null,Archimandrite,null,null,null,null,null,null,null,null,null,null,null,
Ellis,,John Tracy,Tracy,null,null,null,null,null,https://en.wikipedia.org/wiki/John_Tracy_Ellis,https://www.wikidata.org/wiki/Q15452049,http://viaf.org/viaf/12392771,https://www.worldcat.org/identities/lccn-n50008894/,https://www.findagrave.com/memorial/242488731/john-tracy-ellis,null,Mentioned in article,private,3,USA,1905,1992,57,87,null,null,yes,null,null,null,null,null,no,null,null,null,
Estevez,Georgius,Jorge,Arturo,null,1,1,1,1,https://en.wikipedia.org/wiki/Jorge_Medina_(cardinal),https://www.wikidata.org/wiki/Q546807,http://viaf.org/viaf/62609778,https://worldcat.org/identities/lccn-n93118009/,https://www.findagrave.com/memorial/232708446/jorge-arturo-medina_estevez,https://www.catholic-hierarchy.org/bishop/bmedest.html,null,council,23,Chile,1926,2021,36,95,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Jorge_Medina#/media/File:Jorge_Medina_Est%C3%A9vez_(cropped).jpg,null,null,null,null,null,null,null,announced Pope Benedict XVI's election
Etchegaray,Rogerus,Roger,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Roger_Etchegaray,https://www.wikidata.org/wiki/Q44726,http://viaf.org/viaf/79024763,null,https://www.findagrave.com/memorial/214041997/roger_marie_%C3%A9lie-etchegaray,https://www.catholic-hierarchy.org/bishop/betch.html,Obituary,council,29,France,1922,2019,40,97,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Roger_Etchegaray#/media/File:Roger_Etchegaray_2012.jpg,null,null,null,null,null,null,null,diplomat
Evers,Henricus,Henri,null,SSS,1,1,1,1,null,null,http://viaf.org/viaf/316919477,https://worldcat.org/identities/lccn-no2013055539/,null,null,Mentioned in article,council,0,France,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Ewers,Henricus,Heinrich,null,null,1,1,1,1,https://de.wikipedia.org/wiki/Heinrich_Ewers,https://www.wikidata.org/wiki/Q111011,http://viaf.org/viaf/7821147872020675170006,https://www.worldcat.org/identities/viaf-7821147872020675170006/,null,null,null,council,3,Germany,1906,1992,56,86,null,null,null,null,null,null,null,null,no,null,null,null,
Extross,Ioannes,Ivan,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,India,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Fabro,Cornelius,Cornelio,null,CSS,1,1,1,1,https://en.wikipedia.org/wiki/Cornelio_Fabro,https://www.wikidata.org/wiki/Q2252735,http://viaf.org/viaf/14848063,https://worldcat.org/identities/lccn-n79108916/,https://www.findagrave.com/memorial/173871482/cornelio-fabro,null,null,council,8,Italy,1911,1995,51,84,null,null,null,https://www.eunsa.es/media/universidad_navarra/images/thumbs/author-104329-347x347.jpg,null,null,null,yes (religious order was CPS),null,null,null,null,"Thomist,  founder of the Institute for Higher Studies on Unbelief, Religion and Cultures"
Fagiolo,Vincentius,Vincenzo,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Vincenzo_Fagiolo,https://www.wikidata.org/wiki/Q671080,http://viaf.org/viaf/41722522,https://worldcat.org/identities/lccn-nr94022068/,https://www.findagrave.com/memorial/34188440/vincenzo-fagiolo,https://www.catholic-hierarchy.org/bishop/bfagiolo.html,null,council,14,Italy,1918,2000,44,82,Cardinal,null,null,null,https://www.wikidata.org/wiki/Q671080#/media/File:Vincenzo_Fagiolo_(cropped).jpg,null,null,null,null,obedient on contraception/Humanae Vitae,null,null,
Faltin,Daniel,Daniel,null,OFM Conventual,1,1,1,1,null,https://www.wikidata.org/wiki/Q85716054,http://viaf.org/viaf/85152299,https://worldcat.org/identities/viaf-85152299/,https://www.findagrave.com/memorial/165136112/daniel-juraj-faltin,null,Biography (article),council,0,Slovakia,1927,2008,35,81,null,null,null,http://www.pro-villa-quirini.sk/wp-content/uploads/2020/05/faltin_daniel-150x150.jpg,null,null,null,null,null,null,null,null,escaped country with nothing in order to be a priest
Fazzalaro,Franciscus,Francis J. ,J,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269072,http://viaf.org/viaf/78400461,https://worldcat.org/identities/lccn-no98095567/,null,null,Obituary,council,0,USA,1919,null,43,null,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19590101-01.2.7&srpos=6&e=-------en-20--1--txt-txIN-francis+fazzalaro-ILLUSTRATION------,null,null,null,no,null,null,null,
Felici,Angelus,Angelo,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Angelo_Felici,https://www.wikidata.org/wiki/Q535986,http://viaf.org/viaf/7317147967371384200006,null,https://www.findagrave.com/memorial/26973405/angelo-felici,https://www.catholic-hierarchy.org/bishop/bfelici.html,null,council,15,Italy,1919,2007,43,88,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Angelo_Felici#/media/File:Angelo_Felici_(1973).jpg,null,null,null,null,null,null,null,head of Ecclesia Dei
Fenton,Ioseph,Joseph,Clifford,null,1,1,1,1,https://en.wikipedia.org/wiki/Joseph_Clifford_Fenton,https://www.wikidata.org/wiki/Q6282170,http://viaf.org/viaf/61236372,https://worldcat.org/identities/lccn-no2003068790/,https://www.findagrave.com/memorial/80563134/joseph-clifford-fenton,null,null,council,3,USA,1906,1969,56,63,null,null,yes,https://images.findagrave.com/photos250/photos/2016/311/80563134_1478520917.jpg,null,null,https://cuislandora.wrlc.org/islandora/object/achc-fenton%3A1,null,no,null,null,null,editor of the American Ecclesiastical Review
Fernandez,Ianuarius a S. Corde,Jenaro,null,OAR,1,1,1,1,null,null,http://viaf.org/viaf/234159474047627660398,https://worldcat.org/identities/viaf-234159474047627660398/,null,null,Subject of article,council,0,Spain,1909,1972,53,63,null,Servant of God,null,https://www.agustinosrecoletos.com/wp-content/uploads/2016/09/5464noticia_jenaro_1.jpg,null,null,null,yes (religious order spelled as ORSA),null,null,null,null,
Ferrari-Toniolo,Augustinus,Agostino,null,null,1,1,1,1,https://it.wikipedia.org/wiki/Agostino_Ferrari_Toniolo,https://www.wikidata.org/wiki/Q9142553,http://viaf.org/viaf/22222127,null,null,https://www.catholic-hierarchy.org/bishop/bferrto.html,null,council,3,Italy,1917,2004,45,87,Bishop,null,null,https://www.isacem.it/sites/default/files/imagecache/copertina_libro/FerrariToniolo.jpg,null,null,null,null,null,null,null,null,
Fiedler,Ernestus,Ernest,J,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q113793184,http://viaf.org/viaf/46355101,https://worldcat.org/identities/lccn-no96028649/,https://www.findagrave.com/memorial/23679234/ernest-joseph-fiedler,null,null,council,0,USA,1925,2007,37,82,null,null,null,null,null,null,null,null,no,null,null,null,
Filipiak,Boleslaus,Boleslaw,null,null,1,1,1,1,https://pl.wikipedia.org/wiki/Boles%C5%82aw_Filipiak,https://www.wikidata.org/wiki/Q891322,http://viaf.org/viaf/101705386,https://worldcat.org/identities/viaf-101705386/,https://www.findagrave.com/memorial/155493667/boles%C5%82aw-filipiak,http://www.catholic-hierarchy.org/bishop/bfilipiak.html,null,council,12,Poland,1901,1978,61,77,Cardinal,null,null,null,https://pl.wikipedia.org/wiki/Boles%C5%82aw_Filipiak#/media/Plik:Wystawa_prac_A._Laszenki_w_Poznaniu.jpg,null,null,null,null,null,null,null,
Finucan,Iacobus,James,P,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/88022661/james-p-finucan,null,Mentioned in book,council,0,USA,1923,2009,39,86,null,null,null,null,null,null,null,null,yes,null,null,null,
Flynn,Chilianus,Killian,null,OFM Capuchin,0,0,0,1,https://pl.wikipedia.org/wiki/Killian_Flynn,https://www.wikidata.org/wiki/Q69438009,http://viaf.org/viaf/121101799,https://worldcat.org/identities/lccn-n2010205900/,https://www.findagrave.com/memorial/244871526/killian-flynn,http://www.catholic-hierarchy.org/bishop/bfly.html,null,council,1,Ireland,1905,1972,57,67,null,null,null,https://catholicarchives.ie/uploads/r/irish-capuchin-archives-2/d/c/2/dc2b78f1374ccf4dad1bf011b5dd62c7e8e4b24f0a6a9b5fc08c3738dc30195e/Fr_141.jpg,null,null,null,null,null,null,null,null,
Flynn,Fabianus,Fabian,null,CP,0,0,1,1,null,null,http://viaf.org/viaf/183153409687741581149,https://worldcat.org/identities/lccn-no2018103349/,https://www.findagrave.com/memorial/179656763/fabian-philip-flynn,null,Biography (article),council,0,USA,1905,1973,57,68,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cst19480220-01.2.33&srpos=1&e=-------en-20--1--txt-txIN-fabian+flynn-ILLUSTRATION------,null,null,null,no,null,null,null,confessor to Nuremberg Nazis
Flynn,Martinus F.,null,null,null,1,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Flynn,Martinus G.,null,null,null,0,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Fohl,Iulius,Giulio,null,OSB,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Germany,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Foucreault,Lucianus,Lucien,null,null,0,0,1,1,null,null,null,null,https://www.findagrave.com/memorial/215498137/lucien-foucreault,null,Obituary,council,0,Canada,1927,2002,35,75,null,null,null,https://www.mesaieux.com/images/AvisDeces/FOUCREAULT_Lucien_2002_2_14.jpg,null,null,null,null,null,null,null,null,
Freschi,Abraham,Abramo,null,null,0,0,0,1,https://it.wikipedia.org/wiki/Abramo_Freschi,https://www.wikidata.org/wiki/Q21546743,http://viaf.org/viaf/88922122,https://worldcat.org/identities/lccn-n90615121/,null,http://www.catholic-hierarchy.org/bishop/bfreschi.html,null,council,1,Italy,1913,1996,49,83,Bishop,null,null,https://www.dizionariobiograficodeifriulani.it/freschi-abramo/,null,null,null,null,null,null,null,null,
Frison,Basilius,Basil,null,CMF,0,1,1,1,null,https://www.wikidata.org/wiki/Q113724858,http://viaf.org/viaf/56180041,https://worldcat.org/identities/lccn-no92028267/,https://www.findagrave.com/memorial/7889028/basil-frison,null,Subject of article,council,0,USA,1912,2002,50,90,null,null,null,null,null,null,null,null,no,null,null,null,
Frutaz,Amato Petrus,Amato,Pietro,null,1,1,1,1,https://de.wikipedia.org/wiki/Aim%C3%A9-Pierre_Frutaz,https://www.wikidata.org/wiki/Q3607137,http://viaf.org/viaf/51702277,https://worldcat.org/identities/lccn-n90646354/,null,null,null,council,4,Italy,1907,1980,55,73,null,null,null,null,https://www.wikidata.org/wiki/Q3607137#/media/File:Aim%C3%A9-Pierre_Frutaz.jpg,null,null,null,null,null,null,null,archeologist
Gagnebet,Rosarius,Marie-Rosaire,null,OP,1,1,1,1,https://de.wikipedia.org/wiki/Marie_Rosaire_Gagnebet,https://www.wikidata.org/wiki/Q60101560,http://viaf.org/viaf/89043572,https://worldcat.org/identities/viaf-89043572/,null,null,null,council,1,France,1904,1983,58,79,null,null,null,null,null,null,null,null,null,null,null,null,Thomist
Gagnon,Eduardus,Edouard,null,PSS,0,0,1,1,https://en.wikipedia.org/wiki/%C3%89douard_Gagnon,https://www.wikidata.org/wiki/Q918426,http://viaf.org/viaf/85457492,https://worldcat.org/identities/lccn-n83068123/,https://www.findagrave.com/memorial/21282107/%C3%A9douard-gagnon,https://www.catholic-hierarchy.org/bishop/bgagnone.html,null,council,16,Canada,1918,2007,44,89,Cardinal,null,null,https://www.cccb.ca/wp-content/uploads/images/stories/bishops/gagnon_e.jpg,null,null,null,null,null,obedient on contraception/Humanae Vitae,null,null,allegedly led the Gagnon investigation on Freemasonry in the Curia
Gallagher,Thomas,Thomas,null,OP,0,0,0,1,null,null,null,null,https://www.findagrave.com/memorial/68563729/thomas-r-gallagher,null,Subject of article,council,0,USA,1914,1979,48,65,null,null,null,null,null,null,null,null,no,null,null,null,
Galletto,Albinus,Albino,null,null,1,1,1,1,null,null,http://viaf.org/viaf/89607599,https://worldcat.org/identities/viaf-89607599/,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Gambari,Aelius,Elio,null,SMM,1,1,1,1,null,https://www.wikidata.org/wiki/Q93230179,http://viaf.org/viaf/120727323,https://worldcat.org/identities/lccn-n50016723/,null,null,null,council,0,Italy,1913,1999,49,86,null,null,null,null,null,null,null,null,null,null,null,null,
Garcia Cordero,Maximilianus,Maximiliano,null,OP,0,1,1,1,https://es.wikipedia.org/wiki/Maximiliano_Garc%C3%ADa_Cordero,https://www.wikidata.org/wiki/Q24943219,http://viaf.org/viaf/31838940,https://worldcat.org/identities/lccn-nr88001095/,null,null,Subject of article,council,1,Spain,1921,2012,41,91,null,null,null,https://summa.upsa.es/viewer.vm?id=7443&lang=es,null,null,null,yes (missing part of last name),null,null,null,null,
Garofalo,Salvator,Salvatore,null,null,1,1,1,1,https://it.wikipedia.org/wiki/Salvatore_Garofalo,https://www.wikidata.org/wiki/Q3946071,http://viaf.org/viaf/27195620,https://worldcat.org/identities/lccn-n82020733/,null,null,Biography (article),council,2,Italy,1911,1998,51,87,null,null,null,null,https://it.wikipedia.org/wiki/Salvatore_Garofalo#/media/File:Salvatore_Garofalo_54.jpg,null,null,null,null,null,null,null,Scripture and film scholar
Garrigou-Lagrange,,Reginald,null,OP,null,null,null,null,https://en.wikipedia.org/wiki/R%C3%A9ginald_Garrigou-Lagrange,https://www.wikidata.org/wiki/Q1342881,http://viaf.org/viaf/28404,https://worldcat.org/identities/lccn-n88631617/,https://www.findagrave.com/memorial/81728610/reginald-garrigou-lagrange,null,Mentioned in article,private,18,France,1877,1964,85,87,null,null,yes,null,https://en.wikipedia.org/wiki/R%C3%A9ginald_Garrigou-Lagrange#/media/File:Garrigou1.jpeg,died,null,null,null,null,null,null,
Gauthier,,Paul,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Paul_Gauthier_(theologian),https://www.wikidata.org/wiki/Q3371298,http://viaf.org/viaf/121932933,https://worldcat.org/identities/lccn-nr88001181/,null,null,Mentioned in article,private,6,France,1914,2002,48,88,null,null,null,null,null,null,null,null,null,null,null,null,
Gavazzi,Aegidius,Egidio,null,OSB,1,1,0,0,null,https://www.wikidata.org/wiki/Q69575767,null,null,null,http://www.catholic-hierarchy.org/bishop/bgavazzi.html,null,council,0,Italy,1905,1990,57,85,Abbot,null,null,null,null,appointed abbot,null,null,null,null,null,null,
Geanakoplos,,Deno,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Deno_Geanakoplos,https://www.wikidata.org/wiki/Q30429422,http://viaf.org/viaf/4939449,https://worldcat.org/identities/lccn-n79027057/,https://www.findagrave.com/memorial/114409555/deno-j-geanakoplos,null,Subject of article,private,6,USA,1916,2007,46,91,null,null,null,null,null,null,null,null,no,null,null,null,
Gedda,,Luigi,null,null,null,null,null,null,https://it.wikipedia.org/wiki/Luigi_Gedda,https://www.wikidata.org/wiki/Q3839686,http://viaf.org/viaf/79123823,https://worldcat.org/identities/lccn-n81078855/,null,null,Subject of article,private,1,Italy,1902,2000,60,98,null,null,null,null,https://it.wikipedia.org/wiki/Luigi_Gedda#/media/File:Professor_Luigi_Gedda._Wellcome_L0073421_(cropped).jpg,null,null,null,null,obedient on contraception/Humanae Vitae,null,null,
Gelineau,,Joseph,null,SJ,null,null,null,null,https://en.wikipedia.org/wiki/Joseph_Gelineau,https://www.wikidata.org/wiki/Q320533,http://viaf.org/viaf/95179088,https://worldcat.org/identities/lccn-n84132610/,null,null,Obituary,private,6,France,1920,2008,42,88,null,null,yes,http://3.bp.blogspot.com/_drsACX1RqfU/SKC_PzPxfsI/AAAAAAAAAYI/LZeyfcLMW08/s320/_920078_00_23_48_91_920078_00_23_48_91_384x288.jpg,null,null,9781579921194,null,null,null,null,null,
Geraud,Ioseph,Joseph,null,PSS,1,1,1,1,null,null,http://viaf.org/viaf/311152330,https://worldcat.org/identities/viaf-311152330/,null,null,null,council,0,France,1904,null,58,null,null,null,null,null,null,null,null,null,null,null,null,null,
Gervais,Iacobus,Jacques,null,OMI,0,0,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Gheddo,Petrus,Piero,null,PIME,0,0,1,1,https://it.wikipedia.org/wiki/Piero_Gheddo,https://www.wikidata.org/wiki/Q3903254,http://viaf.org/viaf/55320311,https://worldcat.org/identities/lccn-n79144698/,null,null,Subject of article,council,1,Italy,1929,2017,33,88,null,null,null,https://www.catholicnewsagency.com/images/Fr_Pierro_Gheddo_Courtesy_of_Fr_Pierro_Gheddo_CNA.jpg?w=670&h=447,null,null,null,null,null,null,null,null,great media missionary'
Gibson,Arturus,Arthur,null,null,0,0,0,1,null,null,null,null,null,null,Mentioned in article,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Gibson,Laurentius,Lawrence,J,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/173595711/lawrence-j-gibson,null,Obituary,council,0,USA,1929,2016,33,87,null,null,null,https://drive.google.com/drive/u/0/folders/1ExA5_ZfLQFv6QfwSBpv0iP9ZyhfH_oTa,null,null,null,null,no,null,null,null,
Gillespie,Patritius,Patrick,null,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/5771068/patrick-gillespie,null,Author of column,council,0,USA,1902,1982,60,80,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CAC19660204-01.2.10&srpos=4&e=------196-en-20--1--txt-txIN-patrick+Gillespie-------,null,null,null,null,null,null,null,
Gillon,Ludovicus,Luc,null,OP,1,1,1,1,https://ln.wikipedia.org/wiki/Luc_Gillon,null,http://viaf.org/viaf/94442310,https://worldcat.org/identities/lccn-n80115214/,null,null,Mentioned in article,council,1,Belgium,1920,1998,42,78,null,null,null,null,"https://fr.m.wikipedia.org/wiki/Fichier:Luc_Gillon,_buste_%C3%A0_l%27universit%C3%A9_de_Kinshasa.jpg",null,null,null,null,null,null,null,physicist
Giovanelli,Americus,Amerigo,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Giovannetti,Albertus,Alberto,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Alberto_Giovannetti,https://www.wikidata.org/wiki/Q9144406,http://viaf.org/viaf/57082214,https://worldcat.org/identities/lccn-n80017752/,null,null,null,council,3,Italy,1913,1989,49,76,null,null,null,https://holyseemission.org/contents//.images//former-observers-5.jpg,null,null,null,null,null,null,null,null,"deceptively cherubic,' wrote spy novel"
Girard,Petrus,Pierre,null,PSS,0,1,1,1,null,null,null,null,null,null,Subject of article,council,0,France,null,null,null,null,Superior General,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cwp19600215-01.2.8&srpos=2&e=-------en-20--1--txt-txIN-pierre+Girard-------,null,null,null,null,null,null,null,
Giusti,Martinus,Martino,null,null,1,1,1,1,https://it.wikipedia.org/wiki/Martino_Giusti,https://www.wikidata.org/wiki/Q3850250,http://viaf.org/viaf/49268183,https://www.worldcat.org/identities/lccn-n86804949/,null,https://www.catholic-hierarchy.org/bishop/bgiusti.html,null,council,2,Italy,1905,1987,57,82,null,null,null,null,null,null,null,null,no,null,null,null,"head of archives, misspelled name"
Glazik,Ioseph,Josef,null,MSC,0,0,1,1,https://de.wikipedia.org/wiki/Josef_Glazik,https://www.wikidata.org/wiki/Q59530126,http://viaf.org/viaf/40170060,https://worldcat.org/identities/lccn-n86020840/,null,null,null,council,1,Germany,1913,1997,49,84,null,null,null,null,null,null,null,null,null,null,null,null,
Glorieux,Achilles,Achille,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Achille_Glorieux,https://www.wikidata.org/wiki/Q4673706,http://viaf.org/viaf/186797199,https://worldcat.org/identities/viaf-186797199/,null,http://www.catholic-hierarchy.org/bishop/bglori.html,null,council,5,France,1910,1999,52,89,Bishop,null,null,https://i0.wp.com/vatican2journey.josephcardijn.com/wp-content/uploads/2020/11/Achille-Glorieux-PCLA.jpg?fit=500%2C350,null,null,null,null,null,null,null,null,worked for La Croix and L'Osservatore Romano
Gonzalez Ruiz,,Jose Maria,Maria,null,null,null,null,null,null,https://www.wikidata.org/wiki/Q55675749,http://viaf.org/viaf/94480564,https://worldcat.org/identities/lccn-n80028311/,null,null,Subject of article,private,0,Spain,1916,2005,46,89,null,null,null,null,null,null,null,null,null,null,null,null,
Goossens,Paulus,Paul,null,CICM,0,1,1,1,null,null,null,null,null,null,Mentioned in book,council,0,Belgium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
