Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Tucci,Robertus,Roberto,null,SJ,1,1,1,1,https://en.wikipedia.org/wiki/Roberto_Tucci,https://www.wikidata.org/wiki/Q595586,http://viaf.org/viaf/301250051,https://worldcat.org/identities/lccn-n2013007820/,https://www.findagrave.com/memorial/145032670/roberto-tucci,https://www.catholic-hierarchy.org/bishop/btucci.html,Subject of article,council,17,Italy,1921,2015,41,94,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Roberto_Tucci#/media/File:Roberto_Tucci.jpg,null,null,null,null,null,null,null,editor of Civilta Cattolica
Turrado,Laurentius,Lorenzo,null,null,0,1,1,1,https://es.wikipedia.org/wiki/Lorenzo_Turrado,https://www.wikidata.org/wiki/Q23705322,http://viaf.org/viaf/46898926,https://www.worldcat.org/identities/lccn-n82141982/,null,null,null,council,2,Spain,1910,2002,52,92,null,null,null,null,null,null,null,null,null,null,null,null,
Vaccari,Albertus,Alberto,null,SJ,1,1,1,1,https://pt.wikipedia.org/wiki/Alberto_Vaccari,https://www.wikidata.org/wiki/Q1955270,http://viaf.org/viaf/205367800,https://worldcat.org/identities/lccn-n88106328/,null,null,Biography (article),council,2,Italy,1875,1965,87,90,null,null,null,http://www.donorione.org/public/content/6261_foto1.jpg,null,died,null,null,null,null,null,null,
Vagaggini,Cyprianus,Cipriano,null,OSB,1,1,1,1,https://de.wikipedia.org/wiki/Cipriano_Vagaggini,https://www.wikidata.org/wiki/Q3677451,http://viaf.org/viaf/85184630,https://worldcat.org/identities/lccn-n80128622/,null,null,Encyclopedia entry,council,4,Italy,1909,1999,53,90,null,null,yes,https://dsi.diamond-ils.org/img/au2839.jpeg,null,null,null,null,null,null,liturgically progressive ,null,
Vaivods,Iulianus,Julijans,null,null,0,0,1,1,https://lv.wikipedia.org/wiki/Julijans_Vaivods,https://www.wikidata.org/wiki/Q1712329,http://viaf.org/viaf/45108505,https://worldcat.org/identities/lccn-n94104339/,https://www.findagrave.com/memorial/27761365/julijans-vaivods,https://www.catholic-hierarchy.org/bishop/bvaivods.html,Subject of article,council,16,Latvia,1895,1990,67,95,Cardinal,null,null,null,https://lv.wikipedia.org/wiki/Julijans_Vaivods#/media/Att%C4%93ls:Julijans_Kardin%C4%81ls_Vaivods.jpg,appointed bishop,null,null,null,null,null,null,imprisoned by soviet union 1958-1960; KGB agent?
Valentini,Aloisius,Luigi,null,null,1,1,0,0,null,null,null,https://worldcat.org/identities/viaf-364159474191327661871/,null,null,Mentioned in book,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Van den Broeck,Gommarus,Gommaire,J,O Praem,1,1,1,1,null,https://www.wikidata.org/wiki/Q109623715,http://viaf.org/viaf/88791071,https://worldcat.org/identities/viaf-88791071/,null,null,Necrology,council,0,Belgium,1908,1982,54,74,null,null,null,null,null,null,null,null,null,null,null,null,
Van den Eynde,Damianus,Damien,null,OFM,1,1,1,1,null,https://www.wikidata.org/wiki/Q82026671,http://viaf.org/viaf/54618305,https://worldcat.org/identities/lccn-n85289121/,null,null,null,council,0,Belgium,1902,1969,60,67,null,null,null,null,null,null,null,null,null,null,null,null,
Van Leeuwen,B,Peter,Antonius,OFM,0,1,1,1,null,null,http://viaf.org/viaf/45661281,https://worldcat.org/identities/lccn-n82219326/,null,null,null,council,0,Netherlands,1913,null,49,null,null,null,null,https://www.ru.nl/publish/pages/721731/jp7a254.jpg,null,null,null,yes (wrong first name),null,null,null,null,
Van Rijen,Aloisius,Aloysius,null,MSC,0,0,1,1,null,null,http://viaf.org/viaf/288101367,https://worldcat.org/identities/viaf-288101367/,null,null,null,council,0,Netherlands,1917,1999,45,82,null,null,null,null,null,null,null,null,null,null,null,null,
Van Roessel,F,Franciscus,null,CICM,0,1,1,1,https://id.wikipedia.org/wiki/Franciscus_van_Roessel,https://www.wikidata.org/wiki/Q12483093,http://viaf.org/viaf/292293242,https://worldcat.org/identities/viaf-292293242/,null,http://www.catholic-hierarchy.org/bishop/bvroe.html,Biography (article),council,3,Netherlands,1918,2000,44,82,Bishop,null,null,http://4.bp.blogspot.com/-dE8lwyXapv0/UqMnuJ_Do4I/AAAAAAAAARI/xJfrljKCz1A/s200/copn.JPG,null,null,null,yes (missing first name),null,null,null,null,
Van Straelen,Henricus,Henri,null,SVD,0,0,0,1,https://de.wikipedia.org/wiki/Henri_van_Straelen,https://www.wikidata.org/wiki/Q1606070,http://viaf.org/viaf/110398321,https://worldcat.org/identities/lccn-n82158478/,null,null,Biography (article),council,2,Netherlands,1903,2004,59,101,null,null,null,https://1.bp.blogspot.com/-q0kzzVCFCLY/Xvul-Qj6-dI/AAAAAAAAWH0/Xj5iVIVoytUW3WS_fAR8L8KrO1nyJ1KQwCK4BGAsYHg/s176/straelen.jpg,null,null,null,null,null,null,null,null,
